"","gathering.size","gatherings.per.hour","outbreak.size"
"300",15,4,993
"301",16,0.2,993
"302",16,0.4,989
"303",16,0.6,986
"304",16,0.8,993
"305",16,1,996
"306",16,1.2,990
"307",16,1.4,991
"308",16,1.6,993
"309",16,1.8,992
"310",16,2,990
"311",16,2.2,988
"312",16,2.4,994
"313",16,2.6,991
"314",16,2.8,994
"315",16,3,988
"316",16,3.2,987
"317",16,3.4,990
"318",16,3.6,991
"319",16,3.8,992
"320",16,4,992
"321",17,0.2,993
"322",17,0.4,995
"323",17,0.6,993
"324",17,0.8,997
"325",17,1,991
"326",17,1.2,991
"327",17,1.4,996
"328",17,1.6,996
"329",17,1.8,994
"330",17,2,994
"331",17,2.2,993
"332",17,2.4,991
"333",17,2.6,994
"334",17,2.8,995
"335",17,3,992
"336",17,3.2,999
"337",17,3.4,988
"338",17,3.6,997
"339",17,3.8,992
"340",17,4,995
"341",18,0.2,995
"342",18,0.4,995
"343",18,0.6,995
"344",18,0.8,993
"345",18,1,998
"346",18,1.2,994
"347",18,1.4,998
"348",18,1.6,996
"349",18,1.8,998
"350",18,2,995
"351",18,2.2,996
"352",18,2.4,998
"353",18,2.6,995
"354",18,2.8,998
"355",18,3,997
"356",18,3.2,1000
"357",18,3.4,994
"358",18,3.6,999
"359",18,3.8,998
"360",18,4,998
"361",19,0.2,998
"362",19,0.4,997
"363",19,0.6,997
"364",19,0.8,995
"365",19,1,996
"366",19,1.2,997
"367",19,1.4,998
"368",19,1.6,999
"369",19,1.8,997
"370",19,2,997
"371",19,2.2,996
"372",19,2.4,998
"373",19,2.6,997
"374",19,2.8,996
"375",19,3,998
"376",19,3.2,997
"377",19,3.4,996
"378",19,3.6,1000
"379",19,3.8,999
"380",19,4,998
"381",20,0.2,995
"382",20,0.4,996
"383",20,0.6,999
"384",20,0.8,1000
"385",20,1,998
"386",20,1.2,999
"387",20,1.4,997
"388",20,1.6,998
"389",20,1.8,999
"390",20,2,997
"391",20,2.2,999
"392",20,2.4,998
"393",20,2.6,997
"394",20,2.8,999
"395",20,3,1000
"396",20,3.2,997
"397",20,3.4,995
"398",20,3.6,1000
"399",20,3.8,999
"400",20,4,998
