"","group.size","outbreak.size"
"399",8,678
"400",8,730
"401",9,835
"402",9,856
"403",9,827
"404",9,845
"405",9,817
"406",9,835
"407",9,848
"408",9,833
"409",9,794
"410",9,818
"411",9,844
"412",9,827
"413",9,815
"414",9,826
"415",9,831
"416",9,813
"417",9,829
"418",9,836
"419",9,851
"420",9,831
"421",9,852
"422",9,825
"423",9,827
"424",9,841
"425",9,869
"426",9,835
"427",9,811
"428",9,827
"429",9,800
"430",9,831
"431",9,828
"432",9,841
"433",9,832
"434",9,833
"435",9,858
"436",9,858
"437",9,832
"438",9,812
"439",9,851
"440",9,857
"441",9,840
"442",9,857
"443",9,856
"444",9,830
"445",9,834
"446",9,821
"447",9,840
"448",9,840
"449",9,851
"450",9,860
"451",10,905
"452",10,905
"453",10,899
"454",10,909
"455",10,903
"456",10,915
"457",10,899
"458",10,914
"459",10,918
"460",10,918
"461",10,903
"462",10,893
"463",10,888
"464",10,898
"465",10,914
"466",10,917
"467",10,910
"468",10,907
"469",10,890
"470",10,901
"471",10,900
"472",10,926
"473",10,909
"474",10,897
"475",10,909
"476",10,883
"477",10,911
"478",10,902
"479",10,907
"480",10,884
"481",10,895
"482",10,905
"483",10,897
"484",10,882
"485",10,882
"486",10,912
"487",10,894
"488",10,902
"489",10,894
"490",10,914
"491",10,913
"492",10,915
"493",10,909
"494",10,922
"495",10,889
"496",10,900
"497",10,899
"498",10,901
"499",10,907
"500",10,899
"501",11,940
"502",11,934
"503",11,939
"504",11,941
"505",11,946
"506",11,936
"507",11,944
"508",11,945
"509",11,961
"510",11,917
"511",11,940
"512",11,930
"513",11,933
"514",11,944
"515",11,934
"516",11,950
"517",11,950
"518",11,932
"519",11,954
"520",11,942
"521",11,941
"522",11,945
"523",11,938
"524",11,933
"525",11,942
"526",11,936
"527",11,951
"528",11,950
"529",11,946
"530",11,950
"531",11,939
"532",11,947
"533",11,940
"534",11,945
"535",11,950
"536",11,945
"537",11,944
"538",11,940
"539",11,946
"540",11,951
"541",11,924
"542",11,950
"543",11,937
"544",11,950
"545",11,951
"546",11,952
"547",11,936
"548",11,950
"549",11,939
"550",11,934
"551",12,957
"552",12,958
"553",12,959
"554",12,966
"555",12,967
"556",12,977
"557",12,971
"558",12,955
"559",12,963
"560",12,960
"561",12,966
"562",12,965
"563",12,963
"564",12,960
"565",12,966
"566",12,968
"567",12,962
"568",12,965
"569",12,976
"570",12,962
"571",12,968
"572",12,970
"573",12,969
"574",12,959
"575",12,952
"576",12,966
"577",12,961
"578",12,959
"579",12,959
"580",12,965
"581",12,965
"582",12,967
"583",12,962
"584",12,967
"585",12,958
"586",12,957
"587",12,961
"588",12,962
"589",12,954
"590",12,973
"591",12,954
"592",12,960
"593",12,971
"594",12,967
"595",12,967
"596",12,963
"597",12,969
"598",12,953
"599",12,963
"600",12,960
"601",13,967
"602",13,975
"603",13,973
"604",13,973
"605",13,965
"606",13,981
"607",13,977
"608",13,976
"609",13,970
"610",13,972
"611",13,974
"612",13,979
"613",13,972
"614",13,981
"615",13,980
"616",13,981
"617",13,975
"618",13,968
"619",13,973
"620",13,970
"621",13,973
"622",13,976
"623",13,977
"624",13,977
"625",13,972
"626",13,974
"627",13,973
"628",13,971
"629",13,972
"630",13,975
"631",13,976
"632",13,980
"633",13,976
"634",13,976
"635",13,973
"636",13,970
"637",13,973
"638",13,972
"639",13,968
"640",13,972
"641",13,976
"642",13,970
"643",13,971
"644",13,980
"645",13,971
"646",13,980
"647",13,975
"648",13,973
"649",13,978
"650",13,971
"651",14,984
"652",14,978
"653",14,976
"654",14,978
"655",14,989
"656",14,978
"657",14,988
"658",14,991
"659",14,985
"660",14,987
"661",14,986
"662",14,992
"663",14,983
"664",14,973
"665",14,981
"666",14,988
"667",14,987
"668",14,982
"669",14,984
"670",14,984
"671",14,987
"672",14,967
"673",14,990
"674",14,982
"675",14,983
"676",14,980
"677",14,983
"678",14,980
"679",14,983
"680",14,982
"681",14,982
"682",14,987
"683",14,987
"684",14,987
"685",14,977
"686",14,990
"687",14,984
"688",14,979
"689",14,981
"690",14,984
"691",14,976
"692",14,980
"693",14,983
"694",14,988
"695",14,982
"696",14,982
"697",14,985
"698",14,980
"699",14,991
"700",14,982
"701",15,987
"702",15,990
"703",15,982
"704",15,980
"705",15,984
"706",15,991
"707",15,991
"708",15,985
"709",15,989
"710",15,984
"711",15,986
"712",15,984
"713",15,984
"714",15,980
"715",15,989
"716",15,985
"717",15,991
"718",15,991
"719",15,986
"720",15,992
"721",15,985
"722",15,992
"723",15,993
"724",15,985
"725",15,989
"726",15,985
"727",15,988
"728",15,982
"729",15,993
"730",15,992
"731",15,989
"732",15,995
"733",15,989
"734",15,989
"735",15,982
"736",15,987
"737",15,984
"738",15,993
"739",15,984
"740",15,992
"741",15,991
"742",15,988
"743",15,984
"744",15,988
"745",15,985
"746",15,989
"747",15,992
"748",15,993
"749",15,989
"750",15,990
"751",16,988
"752",16,991
"753",16,998
"754",16,991
"755",16,992
"756",16,994
"757",16,990
"758",16,996
"759",16,992
"760",16,990
"761",16,986
"762",16,994
"763",16,987
"764",16,993
"765",16,991
"766",16,993
"767",16,990
"768",16,993
"769",16,993
"770",16,988
"771",16,991
"772",16,988
"773",16,991
"774",16,995
"775",16,992
"776",16,989
"777",16,986
"778",16,990
"779",16,996
"780",16,993
"781",16,987
"782",16,991
"783",16,994
"784",16,995
"785",16,992
"786",16,987
"787",16,992
"788",16,993
"789",16,994
"790",16,988
"791",16,994
"792",16,994
"793",16,994
"794",16,992
"795",16,988
"796",16,991
"797",16,993
"798",16,991
"799",16,985
"800",16,990
"801",17,997
"802",17,990
"803",17,997
"804",17,998
"805",17,994
"806",17,996
"807",17,991
"808",17,994
"809",17,994
"810",17,994
"811",17,995
"812",17,993
"813",17,994
"814",17,994
"815",17,998
"816",17,994
"817",17,996
"818",17,992
"819",17,996
"820",17,997
"821",17,997
"822",17,995
"823",17,995
"824",17,998
"825",17,999
"826",17,990
"827",17,995
"828",17,994
"829",17,997
"830",17,998
"831",17,993
"832",17,996
"833",17,996
"834",17,998
"835",17,995
"836",17,995
"837",17,995
"838",17,992
"839",17,996
"840",17,991
"841",17,996
"842",17,994
"843",17,995
"844",17,994
"845",17,990
"846",17,997
"847",17,995
"848",17,995
"849",17,990
"850",17,993
"851",18,997
"852",18,999
"853",18,993
"854",18,996
"855",18,997
"856",18,999
"857",18,998
"858",18,996
"859",18,1000
"860",18,994
"861",18,998
"862",18,994
"863",18,992
"864",18,998
"865",18,995
"866",18,996
"867",18,998
"868",18,998
"869",18,996
"870",18,998
"871",18,997
"872",18,995
"873",18,993
"874",18,1000
"875",18,996
"876",18,989
"877",18,995
"878",18,994
"879",18,994
"880",18,997
"881",18,998
"882",18,996
"883",18,997
"884",18,994
"885",18,995
"886",18,995
"887",18,996
"888",18,997
"889",18,996
"890",18,995
"891",18,993
"892",18,997
"893",18,996
"894",18,994
"895",18,994
"896",18,997
"897",18,997
"898",18,994
"899",18,994
"900",18,996
"901",19,997
"902",19,998
"903",19,996
"904",19,996
"905",19,998
"906",19,997
"907",19,1000
"908",19,994
"909",19,997
"910",19,1000
"911",19,997
"912",19,998
"913",19,999
"914",19,997
"915",19,996
"916",19,999
"917",19,999
"918",19,996
"919",19,999
"920",19,999
"921",19,997
"922",19,999
"923",19,993
"924",19,996
"925",19,994
"926",19,998
"927",19,998
"928",19,997
"929",19,997
"930",19,996
"931",19,999
"932",19,997
"933",19,998
"934",19,996
"935",19,995
"936",19,994
"937",19,998
"938",19,997
"939",19,1000
"940",19,998
"941",19,996
"942",19,1000
"943",19,997
"944",19,998
"945",19,995
"946",19,998
"947",19,996
"948",19,998
"949",19,996
"950",19,996
"951",20,999
"952",20,997
"953",20,998
"954",20,999
"955",20,998
"956",20,998
"957",20,998
"958",20,998
"959",20,997
"960",20,999
"961",20,998
"962",20,996
"963",20,995
"964",20,996
"965",20,1000
"966",20,999
"967",20,999
"968",20,995
"969",20,996
"970",20,1000
"971",20,1000
"972",20,999
"973",20,1000
"974",20,996
"975",20,998
"976",20,997
"977",20,998
"978",20,999
"979",20,999
"980",20,998
"981",20,999
"982",20,998
"983",20,998
"984",20,996
"985",20,998
"986",20,999
"987",20,999
"988",20,998
"989",20,999
"990",20,999
"991",20,999
"992",20,999
"993",20,994
"994",20,1000
"995",20,1000
"996",20,997
"997",20,998
"998",20,998
"999",20,998
"1000",20,999
